GENE	H1.DN	H1.KO2	H1.AzLow	H1.AzHigh	H2.DN	H2.KO2	H2.AzLow	H2.AzHigh	H3.DN	H3.KO2	H3.AzLow	H3.AzHigh
NR_024242_9_SNAR-A14	0.25	0.00	0.13	0.11	0.02	0.00	0.03	0.00	0.03	0.03	0.08	0.00
NR_024121_NCRNA00235	0.23	0.00	0.09	0.23	0.00	0.00	0.07	0.26	0.00	0.00	0.00	0.15
NR_023353_EXOSC7	4.56	0.00	0.00	4.06	4.82	0.00	3.93	0.00	5.34	0.00	0.00	0.00
NR_021492_LOC100144603	0.00	0.08	0.61	0.17	0.16	0.00	0.21	0.62	0.31	0.11	0.66	0.45
NR_021485_EGFEM1P	0.06	0.02	0.14	0.06	0.11	0.06	0.18	0.39	0.03	0.09	0.10	0.12
NR_015434_LOC148413	3.69	7.43	7.08	6.02	7.85	8.22	8.03	0.00	3.89	7.90	6.72	6.30
NR_015417_LOC284276	0.17	0.10	0.26	0.33	0.06	0.00	0.15	0.13	0.15	0.07	0.18	0.19
NR_015415_FLJ45244	0.62	0.36	0.87	0.28	0.48	0.00	0.56	0.00	0.99	0.00	0.55	0.00
NR_015406_LOC149837	0.03	0.03	0.09	0.09	0.07	0.07	0.10	0.13	0.03	0.08	0.18	0.19
NR_015377_LOC654433	0.00	0.00	0.02	0.02	0.01	0.00	0.03	0.02	0.02	0.04	0.04	0.05
NR_015366_LOC388796	1.01	1.18	1.13	0.00	1.48	1.98	0.00	0.00	1.46	1.91	1.31	0.00
NR_004847_UBE2Q2P2	0.25	0.00	0.00	0.00	0.68	0.54	0.02	0.00	0.75	0.00	0.00	0.00
NR_004395_SNORD1A	1.06	1.42	1.16	0.00	0.00	0.81	0.00	0.00	0.00	0.70	0.00	0.00
NR_003955_EMBP1	0.79	0.33	0.37	0.00	0.86	0.00	0.84	0.00	1.31	0.60	0.74	0.19
NR_003578_ZNF702P	1.11	1.71	1.11	2.76	0.00	2.50	0.93	2.61	0.71	1.10	0.00	1.20
NR_003238_1_H2BFXP	0.30	0.00	0.04	0.00	0.16	0.14	0.17	0.00	0.98	0.36	0.54	0.20
NR_003040_RPL23AP64	0.76	0.91	0.00	1.19	0.84	1.33	0.00	1.13	0.00	0.99	0.75	0.98
NR_002991_SNORA5C	0.00	0.00	0.57	0.26	0.00	0.00	0.23	0.00	0.00	0.00	0.52	0.00
NR_002911_SNORA71A	0.34	0.44	0.36	0.00	0.21	0.52	0.31	0.00	0.00	1.14	0.71	0.60
NR_002815_LOC374491	0.01	0.04	0.13	0.12	0.06	0.08	0.12	0.15	0.05	0.02	0.09	0.21
NR_002799_LOC256880	0.24	0.25	0.04	0.05	0.21	0.29	0.06	0.03	0.29	0.23	0.15	0.11
NR_002785_GNAS-AS	0.32	0.94	0.55	0.00	0.00	0.93	0.21	0.00	0.64	2.15	1.35	0.00
NR_002710_ALOX12P2	0.00	0.86	0.78	0.00	0.25	0.77	0.00	0.00	0.00	0.26	0.00	0.00
NR_002570_CYP2D7P1	0.18	0.37	0.16	0.42	0.37	0.47	0.00	0.61	0.00	0.00	0.00	0.80
NR_002448_SNORD36A	1.44	1.99	0.79	1.42	0.96	0.55	0.00	0.00	2.21	3.03	0.72	0.00
NR_002318_CATSPER2P1	0.00	0.28	0.16	0.11	0.11	0.32	0.26	0.17	0.26	0.29	0.38	0.15
NR_002311_VENTXP7	0.04	0.00	0.04	0.04	0.07	0.03	0.03	0.00	0.07	0.00	0.07	0.00
NR_001587_AURKAPS1	5.56	3.66	6.79	8.99	6.14	2.88	8.36	14.05	6.56	4.46	8.89	14.37
NR_001578_TDH	0.18	0.28	0.17	0.00	0.00	0.13	0.00	0.00	0.08	0.12	0.11	0.00
NR_001459_SNHG10	4.12	7.08	3.16	2.40	3.79	5.51	3.07	0.00	3.91	5.80	2.59	2.74
NR_001283_TOP1P2	0.00	1.08	0.72	1.30	0.00	1.57	0.00	1.00	1.46	1.57	0.00	1.70
NM_213596_FOXN4	0.04	0.01	0.06	0.05	0.09	0.03	0.13	0.10	0.04	0.05	0.07	0.20
NM_212460_ARL4A	0.92	0.00	0.00	0.00	1.34	0.00	1.22	0.00	1.56	0.00	0.00	0.00
NM_207459_TEX19	0.14	0.05	0.49	0.18	0.48	0.19	0.77	0.42	0.60	0.58	1.23	0.91
NM_207418_FAM72D	6.85	4.27	11.60	13.07	9.05	3.48	17.88	22.51	10.63	6.20	16.25	22.83
NM_207371_C10orf140	0.29	1.17	0.35	0.32	0.28	0.81	0.84	0.81	0.23	0.99	0.65	0.44
NM_207311_CCDC64	4.56	1.32	3.54	2.73	4.06	1.82	3.57	2.29	2.07	1.58	1.82	0.00
NM_207305_FOXD4	0.07	0.15	0.02	0.00	0.07	0.13	0.03	0.06	0.03	0.10	0.02	0.01
NM_206860_TACC2	8.07	0.00	0.00	0.00	4.28	0.00	0.00	0.00	7.38	5.57	3.48	0.00
NM_203422_LRRN4CL	0.10	0.17	0.05	0.03	0.18	0.10	0.03	0.05	0.01	0.10	0.00	0.00
NM_203414_C17orf81	9.57	16.42	7.41	9.13	14.99	12.58	8.11	0.00	10.53	16.63	9.00	7.62
NM_203296_TRIM7	0.02	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.03	0.00	0.00	0.00
NM_201267_NRP2	1.05	2.01	0.00	0.00	0.00	2.22	0.00	1.45	0.00	1.39	0.00	0.95
NM_199289_NEK5	0.06	0.01	0.01	0.04	0.06	0.04	0.04	0.12	0.07	0.05	0.03	0.08
NM_198534_C19orf45	0.12	0.03	0.09	0.10	0.17	0.08	0.17	0.17	0.12	0.07	0.10	0.19
NM_198463_C3orf67	0.00	0.61	0.76	0.26	0.76	0.76	1.00	0.42	0.77	1.38	1.02	0.00
NM_198451_FOXR2	0.03	0.00	0.01	0.01	0.05	0.00	0.10	0.04	0.12	0.06	0.10	0.03
NM_198437_AURKA	6.64	3.40	7.16	9.87	3.11	2.20	10.24	14.23	5.93	3.70	8.26	13.70
NM_198435_AURKA	4.03	2.03	4.86	7.21	4.48	3.21	4.42	11.59	6.61	1.86	7.61	8.41
NM_198267_ING3	0.86	1.17	0.00	1.14	0.00	0.72	0.00	0.00	0.00	0.72	0.00	0.00
NM_198236_ARHGEF11	0.00	1.66	0.00	0.00	0.00	2.40	0.00	1.10	0.00	2.57	2.47	0.00
NM_198076_FAM36A	3.32	2.54	0.00	3.82	0.00	0.00	0.00	2.81	0.00	0.00	0.00	3.03
NM_198053_CD247	0.16	0.00	0.00	0.19	0.00	0.00	0.07	0.22	0.00	0.00	0.00	0.16
NM_198046_ZDHHC16	4.15	5.20	4.13	1.99	3.78	2.58	2.31	0.00	3.43	3.29	2.90	0.00
NM_183373_C6orf145	0.65	1.79	0.38	1.07	0.97	1.58	1.12	1.99	0.64	1.85	0.95	1.24
NM_182627_WDR53	3.09	3.08	3.12	1.34	3.05	3.22	3.71	1.06	3.18	2.96	3.19	0.00
NM_182626_C2orf48	0.19	0.20	0.51	0.33	0.32	0.15	0.61	0.73	0.70	0.43	0.98	0.89
NM_182495_FAM55B	0.03	0.05	0.09	0.01	0.04	0.01	0.04	0.00	0.04	0.06	0.08	0.00
NM_182485_CPEB2	0.00	0.26	0.00	0.00	0.17	0.29	0.08	0.17	0.33	0.61	0.15	0.27
NM_181892_UBE2D3	0.00	21.59	0.00	0.00	0.00	20.14	0.00	15.72	0.00	17.59	0.00	0.00
NM_181842_ZBTB12	2.31	2.00	2.11	5.59	2.61	0.00	0.00	3.73	4.97	0.00	0.00	3.20
NM_181719_TMCO4	0.42	0.00	0.33	1.08	0.55	0.44	0.78	0.89	0.64	0.00	0.00	1.16
NM_181482_C18orf1	0.26	0.00	1.05	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.27	0.00
NM_181357_DCAF11	1.94	1.53	3.45	2.20	0.00	0.00	3.19	0.00	0.00	0.00	2.70	0.00
NM_178505_TMEM26	0.07	0.03	0.11	0.13	0.24	0.14	0.28	0.58	0.20	0.26	0.37	0.52
NM_178229_IQGAP3	4.69	2.05	4.84	8.02	6.27	4.44	10.60	9.02	5.51	4.23	6.23	11.44
NM_178040_ERC1	0.00	1.66	2.71	2.63	2.95	3.24	7.77	4.78	3.13	0.00	3.79	6.45
NM_177985_ARL5A	6.21	7.34	0.00	0.00	5.86	8.86	0.00	0.00	4.02	5.66	0.00	5.19
NM_177456_MAGEC3	0.00	0.00	0.00	0.03	0.02	0.00	0.00	0.03	0.00	0.00	0.02	0.06
NM_176883_TAS2R41	0.00	0.00	0.08	0.03	0.00	0.00	0.03	0.00	0.00	0.00	0.04	0.00
NM_176677_NHLRC4	0.15	0.22	0.00	0.16	0.00	0.27	0.15	0.32	0.14	0.24	0.12	0.16
NM_175055_HIST3H2BB	0.88	0.65	0.97	0.00	0.41	0.11	0.33	0.00	0.57	0.10	0.36	0.00
NM_174873_P2RX2	0.12	0.00	0.18	0.20	0.14	0.00	0.04	0.29	0.00	0.00	0.00	0.18
NM_173797_PAPD4	3.78	2.47	0.00	0.83	3.08	2.48	1.39	1.54	1.58	1.35	0.00	0.00
NM_173791_PDZD8	2.70	5.32	2.19	0.00	2.83	5.19	4.52	0.00	0.00	6.87	0.00	0.00
NM_173517_VKORC1L1	0.00	0.00	7.80	8.00	0.00	5.66	6.49	6.83	0.00	6.26	0.00	6.62
NM_173488_SLCO6A1	0.11	0.09	0.03	0.14	0.06	0.00	0.00	0.09	0.15	0.00	0.07	0.15
NM_172016_6_TRIM39	5.63	7.56	2.54	0.00	4.80	4.63	4.23	1.87	4.68	2.90	2.01	2.05
NM_153839_GPR111	0.06	0.10	0.06	0.04	0.02	0.03	0.01	0.00	0.06	0.06	0.04	0.03
NM_153640_PANK2	3.97	3.57	5.66	0.00	4.96	4.14	4.76	0.00	7.18	4.23	4.99	3.21
NM_153607_C5orf41	0.48	0.00	0.67	0.00	1.45	0.00	1.08	0.83	1.29	0.00	1.36	1.20
NM_153051_MTMR3	0.00	0.84	0.00	0.00	0.00	1.19	0.00	0.00	0.00	1.15	1.13	0.00
NM_152921_EMR2	0.33	0.00	0.25	0.46	0.20	0.18	0.00	0.41	0.00	0.00	0.00	0.56
NM_152769_C19orf26	0.00	1.43	0.99	1.00	0.00	1.24	0.81	1.15	0.00	0.95	0.00	0.70
NM_152688_KHDRBS2	0.54	0.64	1.11	1.31	1.32	0.87	1.98	1.54	1.25	1.12	1.55	2.82
NM_152654_DAND5	0.04	0.07	0.06	0.02	0.06	0.11	0.13	0.03	0.02	0.04	0.05	0.03
NM_152515_CKAP2L	0.65	0.70	2.42	3.21	1.63	1.02	4.08	5.58	2.91	1.64	4.35	5.65
NM_152270_SLFN11	0.13	0.00	0.07	0.10	0.13	0.00	0.11	0.16	0.12	0.11	0.00	0.18
NM_145272_C17orf50	0.00	0.17	0.00	0.08	0.03	0.09	0.00	0.14	0.08	0.11	0.04	0.08
NM_145056_DACT3	0.53	0.37	0.34	0.26	1.06	1.33	0.73	0.55	0.94	1.51	0.87	0.67
NM_144687_NLRP12	0.60	0.51	1.27	0.67	0.31	0.73	1.49	1.43	0.00	0.56	2.32	0.90
NM_144651_PXDNL	0.02	0.03	0.01	0.03	0.02	0.07	0.03	0.05	0.02	0.09	0.03	0.08
NM_144586_LYPD1	0.81	1.28	0.54	0.88	0.54	0.75	0.38	0.57	0.94	1.56	0.78	0.88
NM_139058_ARX	0.03	0.10	0.00	0.00	0.05	0.14	0.09	0.00	0.00	0.08	0.01	0.00
NM_138731_MIPOL1	0.00	0.00	0.00	0.76	0.00	0.00	0.00	0.39	0.40	0.81	0.00	1.12
NM_138555_KIF23	9.10	5.71	12.06	13.90	9.63	4.03	18.81	27.31	13.18	7.28	17.08	24.75
NM_138390_TMEM169	0.68	0.00	0.00	0.00	1.07	0.00	0.00	0.00	1.46	0.61	0.00	0.00
NM_138318_KCNK10	0.00	0.00	0.04	0.02	0.00	0.00	0.12	0.00	0.00	0.02	0.08	0.00
NM_134470_IL1RAP	0.17	0.00	0.15	0.00	0.45	0.45	0.00	0.00	0.61	0.38	0.00	0.00
NM_134269_SMTN	1.71	1.00	1.46	4.05	3.43	2.14	2.84	5.10	3.21	2.62	2.36	5.20
NM_133448_TMEM132D	2.50	1.64	3.98	4.58	1.25	1.49	3.86	4.83	3.08	1.88	4.57	5.12
NM_130838_UBE3A	6.45	2.81	5.26	4.42	2.30	0.00	3.42	0.00	3.90	0.00	8.23	0.00
NM_080796_DIDO1	0.00	0.00	7.55	5.03	0.00	4.40	5.24	4.55	4.91	4.60	6.56	9.50
NM_080753_WFDC10A	0.05	0.14	0.00	0.16	0.03	0.17	0.00	0.10	0.05	0.09	0.00	0.39
NM_080614_WFDC3	0.09	0.17	0.03	0.09	0.06	0.07	0.00	0.00	0.06	0.04	0.00	0.00
NM_080539_COLQ	0.00	0.15	0.00	0.07	0.00	0.24	0.00	0.14	0.00	0.19	0.13	0.00
NM_080387_CLEC4D	0.39	0.13	0.65	0.60	0.18	0.10	0.32	0.37	0.10	0.10	0.25	0.14
NM_080386_TUBA3D	0.06	0.08	0.13	0.17	0.10	0.00	0.12	0.13	0.13	0.00	0.14	0.22
NM_058229_FBXO32	0.00	0.07	0.00	0.00	0.19	0.20	0.11	0.00	0.00	0.15	0.09	0.00
NM_057182_CCNE1	0.00	6.12	0.00	0.00	0.00	3.54	0.00	2.59	0.00	7.19	4.87	0.00
NM_052998_ADC	0.20	0.00	0.00	0.37	0.34	0.00	0.15	0.37	0.53	0.22	0.00	0.48
NM_052844_WDR34	0.00	0.00	23.31	0.00	0.00	0.00	24.08	0.00	0.00	0.00	20.66	0.00
NM_033646_CDH7	0.00	0.00	0.07	0.00	0.00	0.00	0.09	0.00	0.02	0.00	0.15	0.00
NM_033626_CCDC120	1.93	2.30	0.88	0.00	0.90	1.68	1.36	0.00	0.00	0.88	0.00	0.00
NM_033510_DISP2	0.20	0.29	0.69	0.55	0.43	0.40	1.00	0.81	0.40	0.54	0.99	1.14
NM_033141_MAP3K9	0.00	0.00	1.45	0.00	0.00	1.08	1.58	0.00	0.00	1.10	1.72	0.00
NM_033131_WNT3A	0.28	0.32	0.10	0.19	0.08	0.14	0.05	0.05	0.10	0.10	0.04	0.05
NM_032875_FBXL20	1.43	2.38	0.48	0.71	1.95	2.98	1.25	0.99	1.81	2.65	1.19	0.87
NM_032858_MAEL	0.02	0.02	0.08	0.07	0.01	0.00	0.03	0.10	0.00	0.04	0.09	0.06
NM_032829_C12orf34	1.51	2.72	0.37	0.71	1.09	1.32	0.38	0.25	0.96	1.45	0.51	0.39
NM_032444_SLX4	0.39	0.98	1.36	1.58	0.94	0.49	2.93	1.43	1.85	1.04	2.19	2.88
NM_032433_ZNF333	0.11	0.31	1.71	0.93	1.07	0.46	1.50	1.51	1.11	1.86	2.38	2.12
NM_032356_LSMD1	6.85	3.62	0.00	0.00	7.39	0.00	0.00	0.00	5.80	0.00	0.00	0.00
NM_032264_NBPF3	2.91	3.06	0.00	0.00	1.08	2.99	0.78	2.92	0.97	3.69	0.83	1.03
NM_032018_C1orf124	0.00	0.76	1.80	0.00	1.51	0.62	2.40	0.00	0.97	0.64	2.52	0.00
NM_031916_ROPN1L	0.00	0.00	0.00	0.03	0.04	0.04	0.03	0.10	0.03	0.02	0.00	0.05
NM_031844_HNRNPU	38.24	0.00	29.00	0.00	52.18	0.00	40.72	32.01	31.23	0.00	0.00	25.57
NM_031313_ALPPL2	0.38	1.82	0.39	0.93	2.45	4.65	2.32	3.25	1.34	5.47	1.28	2.09
NM_031299_CDCA3	9.72	6.45	14.39	15.41	8.48	4.21	14.55	14.34	5.16	5.81	10.34	19.95
NM_030945_C1QTNF3	0.17	0.20	0.00	0.00	0.12	0.25	0.00	0.00	0.00	0.09	0.00	0.00
NM_030919_FAM83D	18.91	13.17	24.86	31.80	17.34	8.80	31.62	42.99	20.03	12.33	28.96	23.89
NM_024872_DOK3	0.76	0.91	0.00	0.31	0.69	0.59	0.00	0.00	0.71	0.45	0.30	0.34
NM_024744_ALS2CR8	0.10	0.30	0.00	0.00	0.21	0.31	0.00	0.00	0.00	0.45	0.00	0.00
NM_024738_C12orf49	0.00	6.54	0.00	0.00	0.00	5.77	0.00	0.00	3.81	6.09	2.87	0.00
NM_024697_ZNF385D	0.49	0.57	0.14	0.46	0.59	0.88	0.34	0.54	1.47	0.53	0.42	0.45
NM_024643_FAM164C	0.00	0.00	0.00	0.29	0.18	0.00	0.26	0.40	0.00	0.00	0.00	0.05
NM_024618_NLRX1	0.70	3.70	0.49	0.00	1.94	2.74	0.00	0.00	1.96	4.71	0.00	0.00
NM_024501_HOXD1	0.06	0.12	0.00	0.04	0.03	0.04	0.02	0.03	0.03	0.03	0.02	0.00
NM_023947_CHID1	0.00	2.61	0.00	8.43	0.00	4.99	0.00	3.67	2.56	6.74	4.18	6.87
NM_022875_SMN2	0.00	4.31	0.00	4.92	0.00	2.78	1.94	7.50	3.81	7.68	2.34	6.93
NM_022818_MAP1LC3B	20.53	25.37	2.41	13.51	26.00	26.70	19.65	7.71	23.01	24.74	18.81	8.32
NM_022169_ABCG4	0.00	0.16	0.00	0.39	0.00	0.00	0.42	0.55	0.00	0.44	0.00	0.83
NM_021958_HLX	0.06	0.14	0.18	0.12	0.07	0.14	0.18	0.13	0.07	0.18	0.15	0.14
NM_021569_GRIN1	0.00	0.00	0.00	0.06	0.00	0.00	0.07	0.23	0.00	0.00	0.00	0.23
NM_021137_TNFAIP1	4.70	4.66	0.00	5.01	0.00	0.00	0.00	5.22	4.97	4.83	0.00	5.50
NM_021065_HIST1H2AD	0.69	0.63	0.45	0.31	0.40	0.93	0.36	0.00	0.36	0.41	0.00	0.16
NM_021059_1_HIST2H3C	0.00	0.00	0.92	0.50	0.00	0.00	0.50	0.41	0.00	0.00	0.60	0.13
NM_021025_TLX3	0.00	0.00	0.00	0.06	0.00	0.00	0.03	0.10	0.00	0.02	0.03	0.06
NM_020999_NEUROG3	0.00	0.04	0.04	0.00	0.06	0.09	0.08	0.00	0.00	0.04	0.00	0.00
NM_020979_SH2B2	1.31	3.96	3.36	0.82	1.44	3.08	0.00	0.00	0.00	2.62	0.00	0.00
NM_020971_SPTBN4	0.03	0.13	0.03	0.04	0.00	0.05	0.00	0.21	0.00	0.07	0.07	0.07
NM_020883_ZSWIM5	0.57	0.42	1.59	0.86	0.11	0.52	1.33	1.24	0.86	0.46	1.20	0.99
NM_020843_SCAPER	1.01	0.67	0.00	1.46	0.00	1.12	0.00	2.21	1.77	1.84	0.00	1.93
NM_020817_KIAA1407	0.24	0.16	0.00	0.29	0.42	0.00	0.21	0.22	0.37	0.00	0.00	0.63
NM_020737_LRFN2	0.03	0.01	0.12	0.09	0.09	0.06	0.12	0.16	0.11	0.12	0.25	0.20
NM_020453_ATP10D	0.63	0.36	0.11	0.70	1.29	1.11	0.67	1.76	0.86	0.68	0.34	0.77
NM_020351_COL8A1	0.10	0.14	0.00	0.23	0.29	0.29	0.00	0.40	0.12	0.05	0.00	0.13
NM_020310_MNT	3.78	3.09	1.26	2.08	3.10	4.21	0.91	1.97	2.09	2.28	0.80	1.25
NM_020063_BARHL2	0.00	0.03	0.00	0.00	0.03	0.06	0.02	0.00	0.00	0.03	0.02	0.00
NM_019618_IL1F9	0.02	0.00	0.03	0.02	0.06	0.00	0.04	0.00	0.07	0.00	0.07	0.04
NM_018654_GPRC5D	0.03	0.04	0.00	0.00	0.08	0.02	0.00	0.00	0.06	0.11	0.00	0.00
NM_018652_GOLGA6B	0.20	0.25	0.05	0.38	0.12	0.14	0.02	0.26	0.04	0.07	0.06	0.41
NM_018492_PBK	3.19	2.18	4.59	4.59	3.99	1.83	4.45	6.10	5.42	3.82	7.36	7.86
NM_018454_NUSAP1	18.52	11.77	15.03	24.44	20.80	11.89	22.60	37.14	20.75	12.18	23.62	33.06
NM_018410_HJURP	11.01	10.53	16.70	23.39	12.31	6.91	14.41	17.78	15.63	8.71	18.81	18.33
NM_018409_LRP2BP	0.36	0.00	0.28	0.33	0.51	0.00	0.00	0.53	0.56	0.39	0.00	0.51
NM_018327_SPTLC3	0.25	0.14	0.10	0.26	0.29	0.28	0.13	0.30	0.23	0.14	0.18	0.46
NM_018322_C6orf64	2.74	1.72	4.13	2.95	1.96	2.12	4.18	3.18	3.03	2.09	4.08	5.31
NM_018245_OGDHL	2.28	1.51	1.94	3.15	3.41	0.00	3.09	4.73	2.84	1.91	0.00	4.46
NM_018235_CNDP2	0.00	4.36	11.69	4.27	4.37	18.21	5.15	5.03	3.82	21.09	18.32	17.42
NM_018182_C17orf63	4.60	5.72	5.76	0.00	0.00	4.43	7.62	0.00	7.20	6.06	7.99	0.00
NM_018136_ASPM	10.55	5.05	8.38	14.77	10.16	7.93	10.88	22.13	14.66	8.44	13.55	21.29
NM_018022_TMEM51	1.77	2.00	2.78	0.00	1.75	0.93	2.16	0.75	2.91	1.54	4.03	0.00
